페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
,6726,[일반],내 마나토끼가 !!!,내 생구멍 발사대가 사라졌어,dasiima 2026.04.28 18:23:44 스크랩 조회 186 추천 0 댓글 4,0,186,2026.04.28 18:23:44,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6726&page=1
,6732,[일반],학생회 어떻게 들어가나요?,동아리 잘못들어갔는데 어떻게하나요 - dc official App,평붕이 (221.163) 2026.05.16 19:52:59 스크랩 조회 111 추천 1 댓글 1,1,111,2026.05.16 19:52:59,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6732&page=1
,6733,[일반],릴스보는데 주딱게이 뜨놐ㅋㅋ,고등학생 때랑 왤케 변했농ㅋㅋㅋ,평붕이 (106.101) 2026.05.22 16:13:44 스크랩 조회 108 추천 0 댓글 3,0,108,2026.05.22 16:13:44,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6733&page=1
,6730,[일반],평택고 2학년 축구 티어표,그런건 없다 게이야 - dc official App,ㅇㅇ 2026.05.13 00:20:21 스크랩 조회 171 추천 1 댓글 1,1,171,2026.05.13 00:20:21,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6730&page=1
,6727,[일반],평고 6학년 올해는 꼭 대학가자,,ㅇㅇ 2026.04.29 14:28:51 스크랩 조회 242 추천 1 댓글 4,1,242,2026.04.29 14:28:51,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6727&page=1
,6731,[일반],ㄷㄷ,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,평붕이 (112.146) 2026.05.15 23:08:00 스크랩 조회 107 추천 0 댓글 1,0,107,2026.05.15 23:08:00,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6731&page=1
,6729,[일반],...,~~~,6o5 (211.234) 2026.05.12 13:08:16 스크랩 조회 126 추천 1 댓글 0,1,126,2026.05.12 13:08:16,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6729&page=1
,6728,[일반],오늘무슨날이지…,,ㅇㅇ 2026.05.03 03:35:22 스크랩 조회 194 추천 0 댓글 1,0,194,2026.05.03 03:35:22,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6728&page=1
,6721,[일반],야 근데,우리 학교에 담배피는 애들 생각보다 ㅈㄴ 많냐 왜?,평붕이 (211.241) 2026.04.23 00:11:47 스크랩 조회 203 추천 0 댓글 3,0,203,2026.04.23 00:11:47,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6721&page=1
,6722,[일반],야,구르트 ㅋ - dc official App,평붕이 (175.114) 2026.04.23 02:03:53 스크랩 조회 173 추천 0 댓글 1,0,173,2026.04.23 02:03:53,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6722&page=1
,6715,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6715&page=1
,6725,[일반],1학년인데,한국사 10점에 과학 32점인데 공부 진짜 얼만큼 디지게 열심히하면 인서울 가나요,평붕이 (118.235) 2026.04.27 16:20:36 스크랩 조회 253 추천 1 댓글 4,1,253,2026.04.27 16:20:36,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6725&page=1
,6723,[일반],경기남부 주름잡기는 대 평 고,캬 - dc official App,평붕이 (211.234) 2026.04.26 14:07:36 스크랩 조회 350 추천 9 댓글 3,9,350,2026.04.26 14:07:36,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6723&page=1
,6713,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6713&page=1
,6711,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6711&page=1
,6719,[일반],개웃기넹,하 나 서울사는 10여고생인데 여기글들 볼때마다 웃겨디지겟당,평붕이 (210.182) 2026.04.15 10:45:09 스크랩 조회 242 추천 0 댓글 4,0,242,2026.04.15 10:45:09,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6719&page=1
,6718,[일반],요즘...,1학년 액면가 살벌하다... 최소30대..,평붕이 (121.67) 2026.04.14 15:55:26 스크랩 조회 160 추천 1 댓글 0,1,160,2026.04.14 15:55:26,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6718&page=1
,6720,[일반],평고 17입학생이다,"어제 회사에서 딴짓하다 평고갤 발견함 나 궁금한게 있음 1.급식 맛 우리땐 제육볶음은 지우개같고 식초맛 많이 나는 치즈불닭이라 메뉴가 있었는데 매점 미어터졌었다 2. 가스라이팅 유무 평고는 평택의 인재들이 모인학교다 평고는 다른 학교랑은 다르다 3. 기숙사 사용여부 나 졸업하고 기숙사 지었던데 지금 학교 이전상태로 알고 있는데 사용하고 있니 다들 공부 열심히 하시고 평고 온거 후회하지 않도록 최선을 다해 좋은 대학 가세요 -2017입학,66회 졸업생이-",평붕이 (14.35) 2026.04.18 12:29:58 스크랩 조회 320 추천 0 댓글 7,0,320,2026.04.18 12:29:58,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6720&page=1
,6707,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6707&page=1
,6705,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6705&page=1
,6703,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6703&page=1
,6701,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6701&page=1
,6706,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6706&page=1
,6700,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6700&page=1
,6699,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6699&page=1
,6717,[일반],학교에서 두쫀쿠만듦,학교화장실에서 두쫀쿠설사에디션 제조하고있었는데 제조과정중에 구수한 냄새를 맡앗나벼. 두놈이엿는데 즈그들끼리 막 얘기를 하는데 가위바위보하더라고 그러더니 한놈이 졋는지 우렁차게 냄새 ㅈ같네라고햇어 그래서 내가 똥칸에서 튀어나와서 우사인볼트빙의해서 쫒아가서 만든 두쫀쿠를 그 뚫린 입에 넣어줬지 그러더니 맛잇게먹더라고 끝 99.9%실화야 0.01%은 msg,ㅇㅇ (210.220) 2026.04.13 22:16:52 스크랩 조회 290 추천 1 댓글 6,1,290,2026.04.13 22:16:52,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6717&page=1
,6697,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6697&page=1
,6693,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6693&page=1
,6691,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6691&page=1
,6690,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6690&page=1
,6687,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6687&page=1
,6686,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6686&page=1
,6685,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6685&page=1
,6684,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6684&page=1
,6683,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6683&page=1
,6682,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6682&page=1
,6681,,,,익명,,,,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6681&page=1
,6716,[일반],이 병신갤은 또 뭐냐 시발,ㅈㄴ웃기네 아무관련없는 새낀데 가끔 놀러온다 고삐리들 화이팅하라노,평붕이 (39.118) 2026.04.09 10:10:20 스크랩 조회 294 추천 1 댓글 2,1,294,2026.04.09 10:10:20,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6716&page=1
,6714,[일반],야자때 태블릿 왜 못쓰나요?,입학설명회때는 가능하다했는데 - dc official App,평붕이 (93.118) 2026.04.05 10:15:06 스크랩 조회 328 추천 0 댓글 5,0,328,2026.04.05 10:15:06,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6714&page=1
,6708,[일반],아니 시발 평고 전학 이사해야 가능이네,다른데는 자리가 없고 평고로 전학가고 싶은데 온 가족이 이사온 경우만 가능이라네 좆됐음,평붕이 (211.36) 2026.03.30 19:22:20 스크랩 조회 270 추천 0 댓글 3,0,270,2026.03.30 19:22:20,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6708&page=1
,6712,[일반],평택고 장점은 평고뽕 차오르는거ㅇㅇ,단점은 평고뽕‘만’ 차오름ㅋㅋ,평붕이 (118.235) 2026.04.03 20:41:56 스크랩 조회 326 추천 0 댓글 3,0,326,2026.04.03 20:41:56,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6712&page=1
,6710,[일반],평택에서 학원,"평고에서 졸업한 선배입니다. 졸업한지 10년 딱 지났네요. 평촌, 대치에서 강사로 일하다가 지인 소개로 평택에서 학원 강사를 했고, 지금은 퇴사했습니다. 평택에서 학원을 다닐 생각이라면 한 번 더 고민해보세요. 전반적으로 수준이 많이 낮고, 입지가 좋은 곳에 자리 잡아 학부모들의 욕심을 채워주거나 사실상 탁아소 역할을 하는 곳이 대부분입니다. 자율학습을 열심히 하고 인강을 듣는 것이 훨씬 낫습니다. 특히 국·영·수를 종합으로 가르치는 학원은 피하는 것을 추천합니다. 강사를 알바몬 등에서 급하게 뽑거나 면접을 대충 진행하고, 학생들을 기계 부품처럼 넣어 수익이 날 때까지 운영하다가 그만두면 바로 내보내는 구조인 경우가 많습니다. 만약 꼭 학원을 다니고 싶다면, 관리형 수업이 잘 되어 있고 강사가 담당하는 과목이 최소 1~2개로 제한된 곳을 선택하세요. 실제로 학군지를 보면 국·영·수 종합 학원은 대형 브랜드를 제외하면 거의 없습니다. 공부를 제대로 하고 싶다면 차라리 과외를 하거나, 인강과 자율학습 시간을 늘리면서 공부 잘하는 선배에게 조언을 구하는 것이 더 효과적입니다. 학원을 옮겨 다니며 한 달에 100만 원씩 쓰기보다는, 스스로 방향을 잡고 꾸준히 노력하는 것이 중요합니다. 병신처럼 엄마말 따라서 왔다 갔다 밍기적거리면서 공부하는 시늉, 척 하지 말고 정신 차리자! 만약 지금 방식으로는 어렵다고 느껴진다면, 다른 길을 선택하는 것도 현실적인 판단입니다. 앞으로 5~8년 뒤에는 학령인구 감소로 인해 서울에 있는 대학도 미달이 발생할 가능성이 있으며, 졸업장의 의미도 점점 줄어들 수 있습니다. 옛날에는 자율학습만 잘해서 대학 가고 싶은데 갔습니다. 평고 화이팅 !",평붕이 (49.236) 2026.04.01 16:23:16 스크랩 조회 425 추천 13 댓글 3,13,425,2026.04.01 16:23:16,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6710&page=1
,6695,[일반],선배님들 의견이 궁금합니다,방과후 중요하나요? - dc official App,평붕이 (121.67) 2026.03.12 16:11:59 스크랩 조회 278 추천 0 댓글 7,0,278,2026.03.12 16:11:59,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6695&page=1
,6698,[일반],1학년 8반 우유던진새끼 누구냐,아주신선한 우유를 내게 던졌어.,평붕이 (175.114) 2026.03.15 03:27:04 스크랩 조회 374 추천 2 댓글 1,2,374,2026.03.15 03:27:04,https://gall.dcinside.com/mgallery/board/view/?id=pths&no=6698&page=1
